(Área de Estudo: QUADRIMESTRAL - Estudo: 3º QUADRIMESTRE/2025 - Área de Carga: EC - Responsável: ONSCarga - Situação do Caso: Gerado Oficial  versão 01
DBAR
(Num)OETGb(   nome   )Gl( V)( A)( Pg)( Qg)( Qn)( Qm)(Bc  )( Pl)( Ql)(  Sh)Are(Vf)M(1)(2)(3)(4)(5)(6)(7)(8)(9)(10)
(006 MÉDIA DIA ÚTIL DEZ/2025 ajustado - Agente/Grupo: AC-ENERGISA AC - dez/2025 - Ajuste Hora: 18
 2950M                           22.6  0.0                          
 2951M                           17.4  0.0                          
 2954M                            1.0  0.0                          
 2960M                            1.8  0.0                          
 2961M                            0.9  0.0                          
 2966M                            9.6  0.0                          
 2967M                            0.8  0.0                          
 2969M                           15.7  0.0                          
 2974M                            1.8  0.0                          
 2977M                           12.1  0.0                          
 2980M                           22.2  0.0                          
 2983M                           14.9  0.0                          
 2985M                            0.5  0.0                          
 2991M                            5.8  0.0                          
 2993M                           12.5  0.0                          
 2995M                            6.7  0.0                          
 2998M                            3.0  0.0                          
 3515M                           19.7  0.0                          
 3576M                            6.8  0.0                          
 3700M                            2.2  0.0                          
 3702M                            5.7  0.0                          
 3710M                           11.2  0.0                          
 3715M                            9.7  0.0                          
 3721M                            4.3  0.0                          
 3727M                            4.9  0.0                          
 3729M                            4.8  0.0                          
 3730M                            2.2  0.0                          
 3738M                            5.8  0.0                          
 3742M                            5.1  0.0                          
 3745M                           20.0  0.0                          
 3749M                           16.5  0.0                          
 3754M                            1.8  0.0                          
 3759M                           24.9  0.0                          
 3760M                            7.0  0.0                          
 3762M                            3.9  0.0                          
 3769M                           12.9  0.0                          
 3770M                            1.2  0.0                          
 3771M                            1.1  0.0                          
 3772M                            7.1  0.0                          
 3773M                           11.1  0.0                          
 3774M                           10.8  0.0                          
 3775M                            5.1  0.0                          
 3776M                            8.6  0.0                          
 3779M                            6.3  0.0                          
 3783M                            0.0  0.0                          
 3785M                           20.5  0.0                          
 3787M                            3.5  0.0                          
 3789M                            1.0  0.0                          
 7071M                           11.3  0.0                          
 7072M                           10.3  0.0                          
 7073M                            9.4  0.0                          
 7077M                            0.9  0.0                          
 7086M                            6.5  0.0                          
 7088M                            6.8  0.0                          
 7090M                            2.0  0.0                          
 7091M                           13.8  0.0                          
 7092M                           10.3  0.0                          
 7094M                           11.9  0.0                          
 7096M                            5.8  0.0                          
 7098M                            1.4  0.0                          
 7813M                            5.2  0.0                          
 7814M                            1.8  0.0                          
 7815M                            1.5  0.0                          
 7817M                            0.6  0.0                          
40608M                            2.1  0.0                          
40611M                            5.0  0.0                          
47146M                            0.3  0.0                          
47147M                           26.8  0.0                          
47148M                            1.2  0.0                          
47149M                            7.0  0.0                          
47150M                           12.1  0.0                          
47151M                           14.0  0.0                          
47152M                           71.7  0.0                          
47153M                           21.9  0.0                          
47154M                           12.0  0.0                          
47155M                            0.4  0.0                          
47156M                            1.8  0.0                          
47157M                            3.3  0.0                          
47319M                            0.4  0.0                          
47320M                            0.5  0.0                          
47321M                           14.2  0.2                          
47713M                            1.0  0.0                          
47714M                           28.9  0.0                          
47743M                            3.0  0.0                          
47752M                           31.1  0.0                          
48126M                            0.0  0.0                          
(006 MÉDIA DIA ÚTIL DEZ/2025 ajustado - Agente/Grupo: MG-CEMIG D - dez/2025
  307M                                                     44.6  5.8
  309M                                                     38.8  6.5
  318M                                                      8.7  1.9
  321M                                                      3.2  0.9
  322M                                                     45.3  8.8
  327M                                                     16.0  2.6
  337M                                                     29.4  9.6
  340M                                                     24.4  6.4
  342M                                                     47.9  9.7
  348M                                                      4.6  2.4
  353M                                                     11.7  5.4
  362M                                                     51.9  3.8
  382M                                                      7.9  2.9
  392M                                                     49.4 -3.8
  399M                                                     20.4  5.2
 1474M                                                      9.9 -1.5
 1477M                                                     20.1 -5.9
 1478M                                                      0.2  0.1
 1480M                                                     16.1  1.5
 1481M                                                     23.3  6.7
 1483M                                                     11.1  0.1
 1484M                                                      6.4 -7.1
