role,offset_seconds,LIT_802,LIT_806,PDIT_830,PIC_807_IN,TE_820,TE_830,TE_831,TE_832,TE_833,TE_834,TE_835,TIT_806,TIT_809,VT_812X,VT_812Y,VT_813X,VT_813Y,VT_814X,VT_814Y,VT_815X,VT_815Y,VT_830,VT_831,XT_829,ZT_827,ZT_828
test-0,2611200.0,30.2655926,41.98066,3.22424841,5.755031,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,41.1989975,102.680977,10.8037186,7.94262552,13.5641346,20.2983932,17.4874554,14.6305742,25.8234043,11.430542,2.11195278,2.1503706,4995.81543,-0.052034304,-0.058929235
test-0,2611500.0,30.3815937,41.7510147,3.22895837,5.74927473,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,41.15195,102.644852,10.8490162,8.23557,14.1451645,20.87861,17.3409462,14.6762018,26.0153389,11.4810638,2.32531857,2.0924902,4997.83,-0.052095715,-0.05832068
test-0,2611800.0,30.4679241,41.52163,3.21492457,5.74927473,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,41.1013374,102.623154,10.7531977,8.376697,14.1955194,20.8795547,17.3411,14.6768351,25.9656315,11.4815474,2.05370426,2.035076,4995.82227,-0.052277416,-0.058383323
test-0,2612100.0,30.3814335,41.751503,3.21999645,5.74927568,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,41.07239,102.550674,10.8035526,8.477513,14.2411165,20.59153,17.4411469,14.6767149,25.9655113,11.4810638,2.20821881,2.09266663,4997.82959,-0.052095335,-0.058504425
test-0,2612400.0,30.43948,41.75332,3.20526314,5.74637175,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.9386826,102.492882,10.8495426,8.332173,14.2422762,20.8792381,17.3911858,14.6763515,26.1120434,11.4311152,2.112126,2.054141,4995.815,-0.052277446,-0.058381915
test-0,2612700.0,30.6981659,41.98202,3.19696069,5.749276,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.80112,102.391663,10.80373,8.620148,14.3379679,20.8788662,17.3406181,14.7263346,26.1118317,11.57794,2.01468635,2.034145,4995.819,-0.052339256,-0.05887043
test-0,2613000.0,30.61195,42.4408226,3.20309114,5.7434783,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.6998367,102.348206,10.84933,8.478246,14.19546,20.6379242,17.390543,14.6761475,26.066288,11.6726761,2.30463457,2.09298062,4995.82373,-0.052400835,-0.058565293
test-0,2613300.0,30.671154,41.98303,3.20592642,5.75215864,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.69257,102.355293,10.7533693,8.816128,14.675869,21.268177,17.441328,14.6765232,26.2582836,11.8655968,2.13237715,1.86155415,4995.82275,-0.052522983,-0.05874937
test-0,2613600.0,30.1518841,41.5228577,3.20986,5.749265,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.7034378,102.35553,10.84933,8.477825,14.3877354,20.8295116,17.3907547,14.6309872,26.2075748,11.527688,2.16953468,2.05389571,4995.819,-0.05270468,-0.059113286
test-0,2613900.0,30.52261,42.2101974,3.21984172,5.74932861,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.8118134,102.455917,10.8035526,8.764327,14.3954039,21.1165237,17.2466,14.7245922,26.2056561,11.6744385,2.24470067,1.9587115,4995.843,-0.05289126,-0.05935042
